SERIE;FECHA;TIPO;CLASE_10;CONTADOR_10;CLASE_20;CONTADOR_20;MOTIVO;OBSERVACION
BRCSV1G092;12/06/2026;21;10;3869;20;3546;;
BRCSV1G07Q;12/06/2026;21;10;2761;20;2027;;
BRCSV1G097;12/06/2026;21;10;1893;20;786;;
BRCSV1G09T;12/06/2026;21;10;18;20;138;;
BRCSV1G0CF;12/06/2026;21;10;4367;20;2802;;
BRCSV1G08K;12/06/2026;21;10;7953;20;1675;;
BRCSV1G0B6;12/06/2026;21;10;10148;20;2668;;
MXCCV1X0JF;12/06/2026;21;10;7580;20;5978;;
MXCCV1X0JM;12/06/2026;21;10;4713;20;8051;;
MXBCT7X0VG;12/06/2026;21;10;1056;20;2837;;
MXBCT7X0VM;12/06/2026;21;10;1823;20;1646;;
MXBCT830JV;12/06/2026;21;10;4611;20;906;;
MXBCT830FK;12/06/2026;21;10;1565;20;4419;;
MXBCT7X0VZ;12/06/2026;21;10;9;20;255;;
MXBCT7X0TK;12/06/2026;21;10;4861;20;6886;;
MXBCT7X0SZ;12/06/2026;21;10;77;20;269;;
MXBCT7X0T9;12/06/2026;21;10;897;20;9810;;
MXBCT7X0TG;12/06/2026;21;10;29;20;70;;
MXBCT830QQ;12/06/2026;21;10;952;20;784;;
MXBCT7X0W7;12/06/2026;21;10;155;20;243;;
MXBCT830RM;12/06/2026;21;10;225;20;765;;
MXBCT7X0WB;12/06/2026;21;10;159;20;383;;
MXBCT7X0V2;12/06/2026;21;10;22;20;200;;
MXBCT830FN;12/06/2026;21;10;1367;20;2309;;
MXBCT7X0VP;12/06/2026;21;10;962;20;57;;
MXBCT830FR;12/06/2026;21;10;1956;20;1186;;
MXBCT830NM;12/06/2026;21;10;423;20;140;;
MXBCT830NC;12/06/2026;21;10;1623;20;1501;;
MXBCT7X0TN;12/06/2026;21;10;977;20;854;;
MXBCT830P6;12/06/2026;21;10;251;20;354;;
MXBCT830NW;12/06/2026;21;10;2069;20;1400;;
MXBCT7X0VL;12/06/2026;21;10;629;20;1693;;
MXBCT7X0V8;12/06/2026;21;10;2195;20;1731;;
MXBCT830FG;12/06/2026;21;10;582;20;253;;
MXBCT7X0V5;12/06/2026;21;10;1857;20;1193;;
JPBCS2V04Q;12/06/2026;21;10;255;20;1157;;
JPBCS2V04Z;12/06/2026;21;10;7;20;42;;
JPBCS2V04D;12/06/2026;21;10;680;20;6;;
JPBCS2V044;12/06/2026;21;10;44;20;104;;
JPBCS2V04L;12/06/2026;21;10;1312;20;3550;;
JPBCS2V04J;12/06/2026;21;10;115;20;755;;
JPBCS2V050;12/06/2026;21;10;204;20;1139;;
JPBCS2V04B;12/06/2026;21;10;115;20;280;;
JPBCS2V049;12/06/2026;21;10;7;20;44;;
JPBCS2V04C;12/06/2026;21;10;162;20;500;;
JPBCS2V04F;12/06/2026;21;10;925;20;2402;;
JPBCT4B0LC;12/06/2026;21;10;197;20;342;;
JPBCS641LH;12/06/2026;21;10;1738;20;372;;
CN0CCDH013;12/06/2026;21;10;2054;;0;;
CN16LFH15F;12/06/2026;21;10;1212;;0;;
PHCNG09427;12/06/2026;21;10;3036;;0;;
PHCNG09446;12/06/2026;21;10;9391;;0;;
PHCNG09453;12/06/2026;21;10;3437;;0;;
PHCNG09435;12/06/2026;21;10;2989;;0;;
