Tipo de evento,Código de evento,Fecha de evento,N.º total de impresiones,Versión del firmware,Ayuda
Info,34.02.01,14-abr-2026 20:48:27,42492,2509087_000074,
Info,34.02.01,14-abr-2026 20:48:26,42492,2509087_000074,
Info,34.02.01,14-abr-2026 19:27:26,42486,2509087_000074,
Info,34.02.01,14-abr-2026 19:27:25,42486,2509087_000074,
Info,34.02.01,14-abr-2026 19:23:25,42486,2509087_000074,
Info,34.02.01,14-abr-2026 19:15:06,42486,2509087_000074,
Info,34.02.01,14-abr-2026 1:08:45,42334,2509087_000074,
Info,34.02.01,14-abr-2026 1:08:44,42334,2509087_000074,
Info,34.02.01,13-abr-2026 20:48:12,42320,2509087_000074,
Info,34.02.01,13-abr-2026 20:47:36,42320,2509087_000074,
Info,34.02.01,13-abr-2026 19:27:03,42309,2509087_000074,
Info,34.02.01,13-abr-2026 19:23:16,42309,2509087_000074,
Info,34.02.01,13-abr-2026 19:14:43,42299,2509087_000074,
Info,34.02.01,13-abr-2026 19:14:42,42299,2509087_000074,
Info,34.02.01,13-abr-2026 16:07:29,42242,2509087_000074,
Info,34.02.01,13-abr-2026 16:07:28,42242,2509087_000074,
Info,34.02.01,13-abr-2026 1:08:31,42101,2509087_000074,
Info,34.02.01,13-abr-2026 1:08:30,42101,2509087_000074,
Info,34.02.01,12-abr-2026 20:47:28,42100,2509087_000074,
Info,34.02.01,12-abr-2026 20:46:58,42100,2509087_000074,
Info,34.02.01,12-abr-2026 20:46:57,42100,2509087_000074,
Info,34.02.01,12-abr-2026 19:26:56,42100,2509087_000074,
Info,34.02.01,12-abr-2026 19:23:12,42100,2509087_000074,
Info,34.02.01,12-abr-2026 19:23:11,42100,2509087_000074,
Info,34.02.01,12-abr-2026 19:14:18,42100,2509087_000074,
Info,34.02.01,12-abr-2026 13:40:52,42100,2509087_000074,
Info,34.02.01,12-abr-2026 13:40:51,42100,2509087_000074,
Info,34.02.01,12-abr-2026 1:08:06,42100,2509087_000074,
Info,34.02.01,11-abr-2026 20:46:31,42100,2509087_000074,
Info,34.02.01,11-abr-2026 20:45:58,42100,2509087_000074,
Info,33.27.01,11-abr-2026 19:27:33,42100,2509087_000074,"Errors in the 33.* family are related to the printer’s storage system or the formatter. The component might have been previously installed in another printer and is therefore locked to the other printer. Or, the component might be incorrect for this printer."
